"PER TESSERATI
(tutte le quote di questo foglio 
sono calcolate senza i €25,00 per Quota Tessera)",ISCRIZIONI FATTE:, PROMO dal 20 Maggio al 14 Giugno,,"PROMO
dal 15 Giugno al 15 Luglio",,PROMO OTTOBRE,,,,"PROMO
OTTOBRE - NOVEMBRE",,,,"PROMO
NOVEMBRE",,,,"PROMO
GENNAIO",,,,"PROMO
FEBBRAIO",,,,"PROMO
MARZO",,,,CODICI SCONTO PROMO,CONDICI SCONTO,VALORE SCONTO
,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,,,2526MASSI05,5%
2 CORSI Adulti (1 Aerial + 1 BDF),"1 Aerial + 1 tra (ballo, danza, fitness)
580 + 390 = 970 sconto 170 €
periodo Settembre -> Giugno
60% Aerial e 40% BDF"," € 720,00 ",10%," € 760,00 ",5%," € 800,00 ",0," € 800,00 ",0," € 800,00 ",0," € 800,00 ",0," € 800,00 ",0," € 800,00 ",0," € 800,00 ",0," € 800,00 ",0," € 800,00 ",0," € 800,00 ",0, € -   ,0, € -   ,0,,2526MASSI10,10%
2 CORSI Adulti (1 BDF + 1 Aerial),"1 tra (ballo, danza, fitness) + 1 Aerial
390 + 580 = 970 sconto 170 €
periodo Settembre -> Giugno
40% BDF e 60% Aerial"," € 720,00 ",10%," € 760,00 ",5%," € 800,00 ",," € 800,00 ",," € 800,00 ",," € 800,00 ",," € 800,00 ",," € 800,00 ",," € 800,00 ",," € 800,00 ",," € 800,00 ",," € 800,00 ",, € -   ,, € -   ,,,2526MASSI20,20%
4 CORSI Adulti (2 Aerial + 2 BDF),"2 Aerial + 2 BDF tra (ballo, danza, fitness)
960 + 680 = 1640 sconto 100 €
periodo Settembre -> Giugno
60% Aerial e 40% BDF"," € 1.386,00 ",10%," € 1.463,00 ",5%," € 1.540,00 ",0," € 1.540,00 ",0," € 1.540,00 ",0," € 1.540,00 ",0," € 1.540,00 ",0," € 1.540,00 ",0," € 1.540,00 ",0," € 1.540,00 ",0," € 1.540,00 ",0," € 1.540,00 ",0, € -   ,0, € -   ,0,,2526NURA05,5%
4 CORSI Adulti (2 BDF + 2 Aerial),"2 BDF tra (ballo, danza, fitness) + 2 Aerial
680 + 960 = 1640 sconto 100 €
periodo Settembre -> Giugno
40% BDF e 60% Aerial"," € 1.386,00 ",10%," € 1.463,00 ",5%," € 1.540,00 ",," € 1.540,00 ",," € 1.540,00 ",," € 1.540,00 ",," € 1.540,00 ",," € 1.540,00 ",," € 1.540,00 ",," € 1.540,00 ",," € 1.540,00 ",," € 1.540,00 ",, € -   ,, € -   ,,,2526NURA10,10%
3 CORSI Adulti (2 Aerial + 1 BDF),"2 Aerial + 1 tra (ballo, danza, fitness)
960 + 390 = 1350 sconto 90 €
periodo Settembre -> Giugno"," € 1.134,00 ",10%," € 1.197,00 ",5%," € 1.260,00 ",0," € 1.260,00 ",0," € 1.260,00 ",0," € 1.260,00 ",0," € 1.260,00 ",0," € 1.260,00 ",0," € 1.260,00 ",0," € 1.260,00 ",0," € 1.260,00 ",0," € 1.260,00 ",0, € -   ,0, € -   ,0,,2526DIREZIONE50,50%
3 CORSI Adulti (2 BDF + 1 Aerial),"2 BDF tra (ballo, danza, fitness) + 1 Aerial
680 + 580 = 1260 sconto 90 €
periodo Settembre -> Giugno"," € 1.053,00 ",10%," € 1.111,50 ",5%," € 1.170,00 ",," € 1.170,00 ",," € 1.170,00 ",," € 1.170,00 ",," € 1.170,00 ",," € 1.170,00 ",," € 1.170,00 ",," € 1.170,00 ",," € 1.170,00 ",," € 1.170,00 ",, € -   ,, € -   ,,,2526POSTA20,20%
,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,,,2526SANTO05,5%
,CORSI BAMBINI E RAGAZZI (DA 3 A 17 ANNI),CORSI BAMBINI E RAGAZZI (DA 3 A 17 ANNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526SANTO10,10%
1 CORSO Bambini e Ragazzi,periodo Settembre -> Maggio," € 259,00 ",30%," € 333,00 ",10%," € 370,00 ",0," € 370,00 ",0," € 148,00 ",60%," € 259,00 ",30%," € 148,00 ",60%," € 240,50 ",35%," € 111,00 ",70%," € 222,00 ",40%," € 370,00 ",0," € 370,00 ",0," € 120,00 ",0," € 120,00 ",0,,2526SARA05,5%
2 CORSI Bambini e Ragazzi,"per lo stesso bambino o fratelli
370 + 370 = 740 sconto 100 €
periodo Settembre -> Maggio"," € 512,00 ",20%," € 576,00 ",10%," € 640,00 ",0," € 640,00 ",0," € 640,00 ",," € 448,00 ",30%," € 640,00 ",0," € 416,00 ",35%," € 640,00 ",0," € 384,00 ",40%," € 640,00 ",0," € 640,00 ",0," € 240,00 ",0," € 240,00 ",0,,2526SARA10,10%
3 CORSI Bambini e Ragazzi,"per lo stesso bambino o fratelli
370 x 3 = 1110 sconto 210 €
periodo Settembre -> Maggio"," € 720,00 ",20%," € 810,00 ",10%," € 900,00 ",0," € 900,00 ",0," € 900,00 ",0," € 900,00 ",0," € 900,00 ",0," € 900,00 ",0," € 900,00 ",0," € 900,00 ",0," € 900,00 ",0," € 900,00 ",0," € 300,00 ",0," € 300,00 ",0,,2526STAFF10,10%
1 CORSO Bambini e Ragazzi AERIAL,periodo Settembre -> Maggio," € 312,00 ",20%," € 351,00 ",10%," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 390,00 ",0," € 150,00 ",0," € 150,00 ",0,,2526UNIMI20,20%
2 CORSI Bambini e Ragazzi AERIAL,"390 + 390 = 780 sconto 100 €
periodo Settembre -> Maggio  "," € 544,00 ",20%," € 612,00 ",10%," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 680,00 ",0," € 270,00 ",0," € 270,00 ",0,,2526VIDEO100,100%
3 CORSI Bambini e Ragazzi AERIAL,"390 x 3 = 1170 sconto 210 €
periodo Settembre -> Maggio"," € 768,00 ",20%," € 864,00 ",10%," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 960,00 ",0," € 360,00 ",0," € 360,00 ",0,,2526VIDEO30,30%
2 CORSI Bambini e Ragazzi Aerial + Ballo,"Aerial + Ballo 
390 + 370 = 760 sconto 100 €
periodo Settembre -> Maggio  "," € 528,00 ",20%," € 594,00 ",10%," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 330,00 ",," € 330,00 ",,,2526VIDEO50,50%
2 CORSI Bambini e Ragazzi Ballo + Aerial,"Ballo + Aerial
370 + 390 = 760 sconto 100 €"," € 528,00 ",20%," € 594,00 ",10%," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 660,00 ",," € 330,00 ",," € 330,00 ",,,2526VIP75,75%
,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,, € -   ,,,2526LEONARDO20,20%
1 LEZIONE Prova,"periodo Settembre -> Giugno  (non sono ancora iscritto, faccio la lezione di prova, se mi iscrivo entro una settimana mi viene scalata. Se faccio 3 prove in 3 corsi diversi e mi iscrivo a 1 solo corso, mi verrà scalata solo la lezione che ho provato nel corso in cui mi iscrivo)"," € 20,00 ",0," € 20,00 ",0," € 20,00 ",0," € 20,00 ",0," € 20,00 ",0," € 20,00 ",0," € 20,00 ",0," € 20,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0,,2526LEONARDO30,30%
1 LEZIONE Singola,"periodo Settembre -> Giugno  (solo se già iscritto a un altro corso, saltuariamente posso fare una singola lezione in altri corsi, che non mi verrà scalata nemmeno se mi iscrivo a quel corso)"," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0,,2526WS.ST4FF20,20%
,,,,,,,,,,,,,,,,,,,,,,,,,, € -   ,, € -   ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,, € -   ,, € -   ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,, € -   ,, € -   ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,, € -   ,, € -   ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,, € -   ,, € -   ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,, € -   ,, € -   ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,, € -   ,, € -   ,,,,
1 LEZIONE Prova POLE O CERCHIO,"periodo Settembre -> Giugno (non sono ancora iscritto, faccio la lezione di prova, se mi iscrivo entro una settimana mi viene scalata. Se faccio 3 prove in 3 corsi diversi e mi iscrivo a 1 solo corso, mi verrà scalata solo la lezione che ho provato nel corso in cui mi iscrivo)"," € 30,00 ",0," € 30,00 ",0," € 30,00 ",0," € 30,00 ",0," € 30,00 ",0," € 30,00 ",0," € 30,00 ",0," € 30,00 ",0," € 30,00 ",0," € 30,00 ",0," € 30,00 ",0," € 30,00 ",0," € 30,00 ",0," € 30,00 ",0,,,
1 QUOTA TESSERA,Tesseramento Annuale," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0," € 25,00 ",0,,,
